noresp;CFD;jk;usia;jmlmotor;jmlmobil;jmlsepeda;jmldewasa;jmlanak;seringnya;kendaraan;kendaraan2;ongkos;bparkir;jarak;durasi;mdhparkir;kontitroto;toplajur;kondisijln;keringat;bnykbrg;penumpang;maksud;jmlkunj;frek;bareng;suasana;keramaian;hiburan;cocokor;penasaran
277;2;1;21;1;1;1;1;0;Sepeda m;1;1;1849,71;4000;2000;10;3;0;6;1;1;0;1;3;5;Tidak te;1;4;4;2;2;1
279;1;2;22;2;0;0;2;0;Sepeda m;2;1;402,48;2000;2600;6;2;1;4;1;1;0;0;3;10;Tidak te;1;5;3;4;3;1
280;1;2;21;0;1;0;1;0;Angkutan;1;1;1849,71;3000;2000;10;3;3;4;1;1;1;0;3;10;Tidak te;0;3;3;5;2;1
281;1;1;34;1;1;0;4;2;Sepeda m;1;1;9248,55;5000;10000;20;3;3;4;1;1;1;1;3;5;Tidak te;6;5;4;5;3;2
282;1;2;34;1;1;3;2;2;Sepeda m;1;1;9248,55;5000;10000;30;2;3;4;2;0;0;1;3;6;Tidak te;3;5;4;3;3;1
283;1;2;15;2;0;2;7;1;Sepeda m;5;2;0;0;4000;60;0;3;4;2;1;0;1;3;8;Tidak te;4;4;4;4;3;1
288;1;1;34;1;1;0;2;1;Mobil pr;1;1;2774,57;5000;3000;15;3;1;4;1;1;0;1;3;4;Tidak te;2;5;5;5;3;1
289;2;1;16;1;0;4;4;0;Sepeda;5;2;0;0;26000;35;0;1;4;2;0;0;0;3;16;Tidak te;7;5;5;5;5;5
291;1;1;22;1;0;1;9;5;Sepeda m;1;1;9248,55;2000;10000;30;2;2;4;1;1;0;1;3;10;Tidak te;2;3;3;4;3;4
292;2;2;20;3;0;1;2;1;Sepeda m;2;1;20000;3000;20000;30;1;2;4;2;1;0;1;3;3;Tidak te;3;5;5;5;5;3
293;1;1;21;2;0;0;3;1;Sepeda m;2;1;1547,99;3000;10000;30;1;2;4;2;1;0;1;3;5;Tidak te;1;4;4;4;5;1
294;1;1;25;3;1;1;4;1;Sepeda m;1;1;18497,11;10000;20000;30;1;2;8;2;0;1;1;3;2;Tidak te;5;5;4;5;4;1
295;2;2;27;1;1;0;1;1;Sepeda m;2;1;5000;3000;6500;10;1;2;4;1;1;0;1;3;2;Tidak te;2;5;4;5;4;4
296;2;1;41;2;1;3;1;2;Sepeda m;2;1;15000;2000;10000;60;1;2;8;1;1;0;1;3;2;Tidak te;3;5;5;5;5;5
299;1;1;55;0;3;0;2;1;Mobil pr;1;1;4624,28;3000;5000;30;5;2;4;2;0;0;0;3; ;Tidak te;2;5;3;4;4;3
300;1;2;22;2;2;3;4;1;Mobil pr;1;1;8323,7;5000;9000;30;4;2;8;1;0;1;1;2;9;Tidak te;5;5;4;3;2;1
301;1;1;23;1;1;0;4;0;Sepeda m;2;1;1083,59;2000;7000;20;4;2;4;1;0;0;0;2;14;Tidak te;1;5;1;3;5;5
302;1;1;19;0;0;0;1;0;Jalan ka;4;2;0;0;1000;15;0;3;2;1;0;0;0;3;2;Tidak te;5;5;4;4;2;2
304;1;1;20;1;0;1;4;0;Sepeda m;2;1;232,2;2000;1500;10;4;2;2;1;1;0;0;3;15;Tidak te;0;4;4;4;4;4
305;1;2;19;2;3;3;4;2;Mobil pr;1;1;7398,84;3000;8000;40;4;2;4;1;1;0;0;2;2;Tidak te;6;5;3;2;3;2
306;1;1;23;1;3;3;3;0;Sepeda m;2;1;990,71;2000;6400;20;5;2;4;2;1;0;0;4;4;Tidak te;3;5;2;5;5;1
307;1;2;19;1;1;0;1;0;Sepeda m;4;2;0;0;2000;15;0;3;4;1;1;1;1;2;6;Tidak te;4;2;5;2;5;2
308;1;1;19;1;2;0;4;1;Sepeda m;2;1;1238,39;3000;8000;45;3;2;4;1;0;0;1;2;2;Tidak te;1;2;2;5;3;2
309;1;2;19;0;2;0;2;2;Angkutan;2;1;5000;0;2100;15;0;2;2;2;1;0;0;2;3;Tidak te;0;5;4;5;3;1
310;1;1;20;1;1;1;3;0;Angkutan;2;1;1702,79;2000;11000;50;3;2;4;1;0;0;0;4;8;Tidak te;4;2;4;2;1; 
311;1;2;19;1;0;0;6;1;Sepeda m;2;1;309,6;2000;2000;10;4;3;2;1;1;0;1;2;2;Tidak te;2;5;4;4;3;2
312;1;1;19;2;0;1;2;1;Sepeda m;2;1;820,43;2000;5300;18;5;2;6;1;0;1;1;2;3;Tidak te;2;5;4;3;4;1
313;1;1;18;3;3;2;3;0;Mobil pr;1;1;13872,83;5000;15000;60;2;1;8;2;1;1;1;2;3;Tidak te;0;4;3;2;2;2
314;1;2;20;1;2;1;4;1;Sepeda m;2;1;8000;0;2000;10;0;3;4;1;0;0;0;2;2;Tidak te;0;4;4;4;3;1
315;1;2;19;0;1;0;3;1;Angkutan;4;2;0;0;8000;30;0;2;4;1;0;0;0;1;4;Tidak te;2;5;1;3;2;2
316;1;2;19;0;0;0;1;0;Angkutan;4;2;0;0;1500;18;0;2;2;1;0;0;0;2;5;Tidak te;5;4;3;4;4;1
317;1;1;19;0;0;0;1;0;Angkutan;2;1;4000;0;1200;15;0;2;2;1;1;0;0;2;5;Tidak te;3;5;3;4;2;1
318;1;2;19;0;0;1;1;0;Angkutan;4;2;0;0;2000;15;0;3;3;1;0;1;1;2;4;Tidak te;10;5;4;4;3;1
319;1;2;19;0;0;0;4;0;Angkot;4;2;0;0;1100;10;0;2;4;1;0;0;0;4;5;Tidak te;4;4;4;4;3;1
